num_etudiant;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;last_annee_validee;last_diplome_valide;moyenne
21706230;Hors;M1 SID - S2;M1 SID - S2;M2 SID - S1;Hors;2019/2020;M2;9.78
21608465;Hors;L2 Maths - S2;L3 MAPI3 - S2;L3 MAPI3 - S1;Hors;2019/2020;L3;10.81
21814175;Hors;Hors;L3 MAPI3 - S1;M1 MAPI3 - S1;Hors;2019/2020;M1;12.14
21804286;Hors;Hors;L3 MAPI3 - S2;L3 MAPI3 - S1;Hors;2019/2020;L3;14.31
21409105;L3 MAPI3 - S2;L3 MAPI3 - S2;L3 MAPI3 - S2;Hors;Hors;2016/2017;L2;7.86
21407595;L2 Maths - S2;L2 Maths - S2;L3 MAPI3 - S2;L3 MAPI3 - S2;Hors;2017/2018;L2;8.08
21708361;Hors;L3 MAPI3 - S2;L3 MAPI3 - S2;Hors;Hors;None;None;2.85
21707554;Hors;L3 ESR - S2;L3 MAPI3 - S2;L3 MAPI3 - S2;Hors;None;None;8.41
21605729;Hors;Hors;L3 MAPI3 - S1;Hors;Hors;2018/2019;L3;17.36
21505132;L2 Maths - S2;L2 Maths - S2;L3 MAPI3 - S2;L3 MAPI3 - S1;Hors;2019/2020;L3;10.01
21712034;Hors;L3 MAPI3 - S2;L3 MAPI3 - S2;M1 MAPI3 - S2;Hors;2018/2019;L3;11.18
21406306;L2 Maths - S2;L2 Maths - S2;L3 MAPI3 - S1;M1 MAPI3 - S2;Hors;2018/2019;L3;9.25
21607237;Hors;L2 Maths - S1;L3 MAPI3 - S1;Hors;Hors;2018/2019;L3;13.53
21612774;Hors;L2 Maths - S2;L3 MAPI3 - S2;L3 MAPI3 - S1;Hors;2019/2020;L3;10.34
21600665;Hors;L2 Maths - S1;L3 MAPI3 - S1;M1 MAPI3 - S1;Hors;2019/2020;M1;11.82
21706821;Hors;L3 MAPI3 - S2;L3 MAPI3 - S2;Hors;Hors;None;None;8.23
20906793;Hors;L2 Maths - S2;L3 MAPI3 - S2;M1 MAPI3 - S2;Hors;2019/2020;M1;10.05
21404898;L2 Maths - S2;L3 MAPI3 - S2;L3 MAPI3 - S2;Hors;Hors;2016/2017;L2;10.27
